id_No,lake_name,source
1,Aksayqin,hydroweb
2,Alakol,hydroweb
3,Albert,hydroweb
4,Amadjuak,hydroweb
5,Angostura,hydroweb
6,Aral_est,hydroweb
7,Aral_nord,hydroweb
8,Aral_ouest,hydroweb
9,Aral_sud,hydroweb
10,Arapa,hydroweb
11,Argentino,hydroweb
12,Asad,hydroweb
13,Athabasca,hydroweb
14,Ayakkum,hydroweb
15,Aydarkul,hydroweb
16,Aylmer,hydroweb
17,Bagre,hydroweb
18,Baikal,hydroweb
19,Baker,hydroweb
20,Balbina,hydroweb
21,Balkhash,hydroweb
22,Bangweulu,hydroweb
23,Bankim,hydroweb
24,Beloye,hydroweb
25,Beysehir,hydroweb
26,Bluenose,hydroweb
27,Bogoria,hydroweb
28,Bolon,hydroweb
29,Bosten,hydroweb
30,Bratskoye,hydroweb
31,Buyo,hydroweb
32,Cahora_bassa,hydroweb
33,Caniapiscau,hydroweb
34,Caribou,hydroweb
35,Caspian,hydroweb
36,Cedar,hydroweb
37,Chagbo-co,hydroweb
38,Champlain,hydroweb
39,Chapala,hydroweb
40,Chardarya,hydroweb
41,Chiquita,hydroweb
42,Chukchagirskoye,hydroweb
43,Cochrane,hydroweb
44,Dagze-co,hydroweb
45,Dalai,hydroweb
46,Des_bois,hydroweb
47,Dogaicoring,hydroweb
48,Dogaicoring-q,hydroweb
49,Dongting,hydroweb
50,Dorgon,hydroweb
51,Dubawnt,hydroweb
52,Edouard,hydroweb
53,Erie,hydroweb
54,Fort_peck,hydroweb
55,General_carrera,hydroweb
56,Grande_trois,hydroweb
57,Great_bear,hydroweb
58,Great_salt,hydroweb
59,Greatslave,hydroweb
60,Guri,hydroweb
61,Har,hydroweb
62,Hinojo,hydroweb
63,Hongze,hydroweb
64,Hovsgol,hydroweb
65,Huapi,hydroweb
66,Hulun,hydroweb
67,Huron,hydroweb
68,Hyargas,hydroweb
69,Iguazu,hydroweb
70,Ilha_solteira,hydroweb
71,Iliamna,hydroweb
72,Illmen,hydroweb
73,Issykkul,hydroweb
74,Itaparica,hydroweb
75,Izabal,hydroweb
76,Jingyu,hydroweb
77,Kabele,hydroweb
78,Kabwe,hydroweb
79,Kainji,hydroweb
80,Kairakum,hydroweb
81,Kamskoye,hydroweb
82,Kapchagayskoye,hydroweb
83,Kara_bogaz_gol,hydroweb
84,Karasor,hydroweb
85,Kariba,hydroweb
86,Kasba,hydroweb
87,Khanka,hydroweb
88,Kikuletwa,hydroweb
89,Kivu,hydroweb
90,Kokonor,hydroweb
91,Kossou,hydroweb
92,Krasnoyarskoye,hydroweb
93,Kremenchutska,hydroweb
94,Kubenskoye,hydroweb
95,Kulundinskoye,hydroweb
96,Kumskoye,hydroweb
97,Kuybyshevskoye,hydroweb
