,id_No,lake_name,source,metadata
0,1,Aksayqin,hydroweb,"{'basin': 'Tarim', 'source': 'hydroweb', 'status': 'research', 'country': 'China', 'end_date': '2014-10-22 17:39', 'latitude': 35.2, 'lake_name': 'Aksayqin', 'longitude': 79.85, 'identifier': 'L_aksayqin', 'start_date': '2002-10-28 18:14'}"
1,2,Alakol,hydroweb,"{'basin': 'Mongolian', 'source': 'hydroweb', 'status': 'operational', 'country': 'Kazakhstan', 'end_date': '2020-10-06 15:56', 'latitude': 46.12, 'lake_name': 'Alakol', 'longitude': 81.75, 'identifier': 'L_alakol', 'start_date': '2013-04-13 06:06'}"
2,3,Albert,hydroweb,"{'basin': 'Nile', 'source': 'hydroweb', 'status': 'research', 'country': 'Congo&Uganda', 'end_date': '2020-03-26 18:56', 'latitude': 1.67, 'lake_name': 'Albert', 'longitude': 30.92, 'identifier': 'L_albert', 'start_date': '1995-06-05 01:14'}"
3,4,Amadjuak,hydroweb,"{'basin': 'Hudsonbay', 'source': 'hydroweb', 'status': 'operational', 'country': 'Canada', 'end_date': '2020-10-01 20:51', 'latitude': 64.92, 'lake_name': 'Amadjuak', 'longitude': -71.1, 'identifier': 'L_amadjuak', 'start_date': '1992-09-26 00:14'}"
4,5,Angostura,hydroweb,"{'basin': 'Grisalva', 'source': 'hydroweb', 'status': 'research', 'country': 'Mexico', 'end_date': '2010-09-24 10:48', 'latitude': 16.08, 'lake_name': 'Angostura', 'longitude': -92.5, 'identifier': 'L_angostura', 'start_date': '2002-10-12 16:47'}"
5,6,Aral_est,hydroweb,"{'basin': 'Aral-Drainage', 'source': 'hydroweb', 'status': 'research', 'country': 'Kasakhstan&Uzbekistan', 'end_date': '2020-03-18 15:15', 'latitude': 45.0, 'lake_name': 'Aral_est', 'longitude': 60.0, 'identifier': 'L_aral_est', 'start_date': '2010-05-13 20:45'}"
6,7,Aral_nord,hydroweb,"{'basin': 'Aral-Drainage', 'source': 'hydroweb', 'status': 'research', 'country': 'Kazakstan', 'end_date': '2020-04-09 04:48', 'latitude': 46.4, 'lake_name': 'Aral_nord', 'longitude': 60.8, 'identifier': 'L_aral_nord', 'start_date': '1992-10-02 14:48'}"
7,8,Aral_ouest,hydroweb,"{'basin': 'Aral-Drainage', 'source': 'hydroweb', 'status': 'research', 'country': 'Kasakhstan&Uzbekistan', 'end_date': '2020-02-14 12:15', 'latitude': 45.0, 'lake_name': 'Aral_ouest', 'longitude': 58.5, 'identifier': 'L_aral_ouest', 'start_date': '2010-01-14 03:27'}"
8,9,Aral_sud,hydroweb,"{'basin': 'Aral-Drainage', 'source': 'hydroweb', 'status': 'research', 'country': 'Kazakstan&Uzbekistan', 'end_date': '2009-12-26 12:35', 'latitude': 46.3, 'lake_name': 'Aral_sud', 'longitude': 59.0, 'identifier': 'L_aral_sud', 'start_date': '1992-09-28 04:56'}"
9,10,Arapa,hydroweb,"{'basin': 'Desaguadero', 'source': 'hydroweb', 'status': 'research', 'country': 'Peru', 'end_date': '2020-04-03 05:31', 'latitude': -15.16, 'lake_name': 'Arapa', 'longitude': -70.02, 'identifier': 'L_arapa', 'start_date': '2016-03-09 23:36'}"
10,11,Argentino,hydroweb,"{'basin': 'Santa-Cruz', 'source': 'hydroweb', 'status': 'operational', 'country': 'Argentina', 'end_date': '2020-10-06 10:36', 'latitude': -50.33, 'lake_name': 'Argentino', 'longitude': -72.75, 'identifier': 'L_argentino', 'start_date': '1992-10-21 15:07'}"
11,12,Asad,hydroweb,"{'basin': 'Tigris-Euphrates', 'source': 'hydroweb', 'status': 'research', 'country': 'Syria', 'end_date': '2016-05-22 01:48', 'latitude': 36.0, 'lake_name': 'Asad', 'longitude': 38.17, 'identifier': 'L_asad', 'start_date': '2002-10-10 21:00'}"
12,13,Athabasca,hydroweb,"{'basin': 'Mackenzie River', 'source': 'hydroweb', 'status': 'operational', 'country': 'Canada', 'end_date': '2020-10-06 04:13', 'latitude': 59.1, 'lake_name': 'Athabasca', 'longitude': -110.0, 'identifier': 'L_athabasca', 'start_date': '1992-09-27 02:35'}"
13,14,Ayakkum,hydroweb,"{'basin': 'Mongolian', 'source': 'hydroweb', 'status': 'operational', 'country': 'China', 'end_date': '2020-09-29 15:35', 'latitude': 37.54, 'lake_name': 'Ayakkum', 'longitude': 89.4, 'identifier': 'L_ayakkum', 'start_date': '1995-06-29 22:40'}"
14,15,Aydarkul,hydroweb,"{'basin': 'Aral-Drainage', 'source': 'hydroweb', 'status': 'operational', 'country': 'Kazakhstan&Uzbekistan', 'end_date': '2020-10-02 17:00', 'latitude': 40.87, 'lake_name': 'Aydarkul', 'longitude': 67.04, 'identifier': 'L_aydarkul', 'start_date': '1995-06-02 15:31'}"
15,16,Aylmer,hydroweb,"{'basin': 'Back River', 'source': 'hydroweb', 'status': 'operational', 'country': 'Canada', 'end_date': '2020-10-06 22:40', 'latitude': 64.09, 'lake_name': 'Aylmer', 'longitude': -108.54, 'identifier': 'L_aylmer', 'start_date': '1992-10-26 09:18'}"
16,17,Bagre,hydroweb,"{'basin': 'Volta', 'source': 'hydroweb', 'status': 'operational', 'country': 'Burkina', 'end_date': '2020-09-28 09:58', 'latitude': 11.15, 'lake_name': 'Bagre', 'longitude': 0.62, 'identifier': 'L_bagre', 'start_date': '2008-08-21 13:46'}"
17,18,Baikal,hydroweb,"{'basin': 'Yenisei', 'source': 'hydroweb', 'status': 'operational', 'country': 'Russia', 'end_date': '2020-10-06 14:17', 'latitude': 53.58, 'lake_name': 'Baikal', 'longitude': 108.17, 'identifier': 'L_baikal', 'start_date': '1992-09-27 20:09'}"
18,19,Baker,hydroweb,"{'basin': 'Thelon', 'source': 'hydroweb', 'status': 'operational', 'country': 'Canada', 'end_date': '2020-10-03 17:34', 'latitude': 64.0, 'lake_name': 'Baker', 'longitude': -95.0, 'identifier': 'L_baker', 'start_date': '1992-10-06 14:58'}"
19,20,Balbina,hydroweb,"{'basin': 'Amazonas', 'source': 'hydroweb', 'status': 'operational', 'country': 'Brazil', 'end_date': '2020-10-05 00:15', 'latitude': -1.58, 'lake_name': 'Balbina', 'longitude': -59.73, 'identifier': 'L_balbina', 'start_date': '1992-09-28 22:30'}"
20,21,Balkhash,hydroweb,"{'basin': 'Balkhash', 'source': 'hydroweb', 'status': 'operational', 'country': 'Kazakstan', 'end_date': '2020-10-05 16:23', 'latitude': 46.3, 'lake_name': 'Balkhash', 'longitude': 74.32, 'identifier': 'L_balkhash', 'start_date': '1992-09-27 02:35'}"
21,22,Bangweulu,hydroweb,"{'basin': 'Congo', 'source': 'hydroweb', 'status': 'research', 'country': 'Zambia', 'end_date': '2020-03-29 19:39', 'latitude': -11.17, 'lake_name': 'Bangweulu', 'longitude': 29.81, 'identifier': 'L_bangweulu', 'start_date': '1995-07-04 12:05'}"
22,23,Bankim,hydroweb,"{'basin': 'Sanaga', 'source': 'hydroweb', 'status': 'operational', 'country': 'Cameroun', 'end_date': '2020-10-03 07:59', 'latitude': 6.1, 'lake_name': 'Bankim', 'longitude': 11.36, 'identifier': 'L_bankim', 'start_date': '2008-07-07 00:04'}"
23,24,Beloye,hydroweb,"{'basin': 'Volga', 'source': 'hydroweb', 'status': 'research', 'country': 'Russia', 'end_date': '2020-03-20 19:39', 'latitude': 60.18, 'lake_name': 'Beloye', 'longitude': 37.63, 'identifier': 'L_beloye', 'start_date': '2016-04-18 12:32'}"
